Category,Number,Note,Placement,Famous Fragrances with Price,Description,Image 1,Image 2,Image 3
FLORAL ESSENCE,10,Gardenia,Top ,"Guerlain Cruel Gardénia ( $452 ), Xerjoff Gran Ballo ( €270 ), Bond No 9 B9 ( $440 ), Goutal Un Matin d'Orage Eau de Parfum ( €205 ), Jo Malone London Gardenia & Oud Absolu ( €295 ),","Intoxicating. Rich, creamy, and opulent, gardenia offers a lush, white floral note with sweet, slightly green undertones, delivering an intoxicating and luxurious floral experience.",,#VALUE!,#VALUE!
FLORAL ESSENCE,11,Geranium ,Top ,"Frederic Malle Rose Tonnerre ( $74 ), Xerjoff Rose Gold ( €650 ), Serge Lutens La Fille de Berlin Edition Limitée ( $185 ), Amouage Honour Man ( $380 ), Creed Vetiver Geranium ( $360 ) ","A bright and herbaceous floral with subtle hints of mint and rose, adding freshness and a slightly spicy nuance to a fragrance.",,#VALUE!,#VALUE!
FLORAL ESSENCE,12,Lavender,Top ,"Serge Lutens Encens et Lavande ($305), Guerlain Aqua Allegoria Lavande Velours ( $221), Santa Maria Novella Lavanda Imperiale ( €125 ), Yves Saint Laurent Libre Intense ( $157 ), Creed Bois du Portugal ( $470 ),","A calming, aromatic floral with herbal undertones, lavender brings a sense of relaxation and a clean, soft sweetness to compositions.",,#VALUE!,#VALUE!
FLORAL ESSENCE,13,Neroli,Top ,"Tom Ford Neroli Portofino Parfum ( $445), Creed Neroli Sauvage ( $235 ), Guerlain Nerolia Vetiver Harvest ( $165 ), Hermès Eau de Néroli Doré ( $109 ), Van Cleef & Arpels Néroli Amara ( $189 )","A radiant citrus-floral with orange blossom essence, neroli provides a vibrant, refreshing, and slightly green note, offering an uplifting, luminous quality.",,#VALUE!,#VALUE!
FLORAL ESSENCE,14,Rose,Top ,"Maison Francis Kurkdjian Oud Satin Mood ( €235 ), By Kilian Rose Oud ( $265 ), Serge Lutens La Fille de Berlin ( $109 ), Guerlain Rose Centifolia Extrait 1 ( $630 ), Tom Ford Rose Prick ( $615 ), ","A timeless floral, rose is lush, velvety, and romantic, with subtle sweet and spicy facets that bring warmth and elegance to any blend.",,#VALUE!,#VALUE!
FLORAL ESSENCE,15,Ylan-Ylang,Top ,"Tom Ford Black Orchid Parfum ( $300 ), Creed Millesime 1849 Eau de Parfum ( $495 ), Maison Francis Kurkdjian Aqua Vitae Forte ( $275 ), M. Micallef Ylang In Gold Nectar Edition Speciale ( $ 139 ), Gucci Bloom Profumo Di Fiori ( $168 ),","Exotic and sweet, ylang-ylang has creamy floral and fruity nuances, delivering a tropical richness with a soft, sensual depth.",,#VALUE!,#VALUE!
FLORAL ESSENCE,16,Jasmine,Middle (Heart),"Mugler Alien ($185 ), Guerlain Jasmin Grandiflorum Extrait 30 ( $630 ), Tom Ford Jasmin Rouge ( $300 ), Chanel No 5 Hair Fragrance ( €71 ), By Kilian Imperial Tea ( $295 ),","Luxurious and intoxicating, jasmine is a rich, warm floral with sweet, slightly green accents, evoking an opulent and heady allure.",,#VALUE!,#VALUE!
FLORAL ESSENCE,17,Lotus,Middle (Heart),"Jean Paul Gaultier La Belle Paradise Garden ( $149 ), Bvlgari Omnia Crystalline Eau de Parfum ( $135 ), Jo Malone London Fig & Lotus Flower ( €140 ), Versace Bright Crystal ( $135 ), Issey Miyake L'Eau d'Issey Parfum ( $120 ),","Delicate and airy, lotus offers a watery, light floral note with a hint of sweetness and powder, evoking serene and fresh purity.",,#VALUE!,#VALUE!
FLORAL ESSENCE,18,Orange Blossom,Middle (Heart),"Jo Malone London Orange Blossom ( $149 ), Yves Saint Laurent MYSLF Eau de Parfum ( $155 ), Mugler Mugler Cologne Take Me Out ( $70 ), Louis Vuitton Stellar Times ( $830 ), Diptyque Eau des Sens Eau de Toilette ( $158 ),","A bright, white floral with sweet, citrus undertones, orange blossom is fresh and uplifting, embodying both innocence and sensuality in fragrance.",,#VALUE!,#VALUE!
FLORAL ESSENCE,19,Orchid,Middle (Heart),"Viktor&Rolf Flowerbomb Ruby Orchid ( $225 ), Gucci Flora Gorgeous Orchid ( $168 ), Chloé Vanilla Planifolia ( $ 155 ), Nest Madagascar Vanilla Perfume Oil (102), Cartier Baiser Fou ($79),","A creamy, subtle floral with powdery and sweet undertones, orchid provides an elegant, mysterious, and refined touch to any fragrance.",,#VALUE!,#VALUE!
FLORAL ESSENCE,20,Peony,Middle (Heart),"Miss Dior Blooming Bouquet ( $172 ), Good Girl Blush Carolina Herrera ( $214 ), Holy Peony Dior ( $150 ), Flora by Gucci Eau de Parfum Gucci ( $445 ), Envy Me Gucci ( $217 ),","Soft and delicate, peony is a light floral with subtle sweetness and fresh green facets, creating a romantic and airy fragrance note.",,#VALUE!,#VALUE!
,,FRUITS & BERRIES,,,,,,
FRUITS & BERRIES,21,Black Currant,Top ,"Gucci: The Heart of Leo ($384), Armani Se Eau de Parfum Intense ($158), Valentino Donna Born in Roma ($165), Christian Louboutin Loubifunk ($320)","A tangy and somewhat foresty fruit note that emits a combined scent of bright red and green fruit aromas. A primary note for completing green, minty, and floral notes in perfumes.",,#VALUE!,#VALUE!
FRUITS & BERRIES,22,Mango,Top ,"Stéphane Humbert Lucas 777 God of Fire ( €195,00 ), Guerlain Aqua Allegoria Florabloom Forte ( $180 ), By Kilian Moonlight in Heaven ( $295 ), House of Sillage Hauts Bijoux Limited Edition ( €235 ), Xerjoff Cruz del Sur II ( €235 )","This tropical fruit note is an explosion of peaches, mangos, and other delectable island fruits. An invigorating note for your next villa or resort getaway.",,#VALUE!,#VALUE!
FRUITS & BERRIES,23,Melon,Top ,"Frederic Malle Carnal Flower ( $335 ), Creed Spring Flower ( $445 ), Chanel Cristalle Eau de Parfum ( €172 ), Aqua Allegoria Flora Salvaggia Guerlain ( $160 ), Royal Crown Rose Masquat ( £395 )",A sparkling sweet and fruity note. It is formulated from ripe melons intended to delight the senses and pair well with floral aromas.,,#VALUE!,#VALUE!
FRUITS & BERRIES,24,Lychee,Top ,"Parfums de Marly Delina Exclusif ( € 280), Louis Vuitton Attrape-Rêves ( $320 ), Maison Francis Kurkdjian L'eau À la Rose ( €175 ), By Kilian Fun Things Always Happen After Sunset ( £96 ), Bond No 9 Gold Coast Swarovski Couture Edition ( $550 )",This irresistible fragrance blends sweet and slightly acidic scents with juicy and delicate floral undertones.,,#VALUE!,#VALUE!
FRUITS & BERRIES,25,Pineapple,Top ,"(Creed Aventus ( $495 ), Nishane Hacivat ( €168 ), Xerjoff Accento ( $147 ), Montblanc Legend Intense ( $298 ), Maison Alhambra Signatures No III ( $101 )",A colorfully bright note that blends the opulent essence of juicy fruit bursting with sweet & tangy flavors.,,#VALUE!,#VALUE!
FRUITS & BERRIES,26,Coconut,Heart ,"Creed Virgin Island Water ( $470 ). Jean Paul Gaultier Le Beau Le Parfum ( $114 ), Maison Louis Marie No.13 Nouvelle Vague ( $93 ), Tom Ford Soleil Blanc ( $445 ), Comptoir Sud Pacifique Coco Extreme ( € 94 )","Derived from coconut trees and tropical landscapes, this note combines milky, nutty, and delicately sweet scents. Perfect for the island girls who don’t go a day without sand in their hair.",,#VALUE!,#VALUE!
FRUITS & BERRIES,27,Pomegranate,Heart ,"Jo Malone London Pomegranate Noir ( $165 ), Chopard Miel d'Arabie ( $344 ), M. Micallef Soleil Passion ($131), Guerlain Aqua Allegoria Granada Salvia ($160), Bvlgari Rose Goldea ( $145 ),","This multi-layered note captures the perfect fantasy of sweet and sour. Blending seamlessly to emit the most cheeky, fruity scent.",,#VALUE!,#VALUE!
FRUITS & BERRIES,28,Berry,Heart ,"Meliora by Parfums de Marly ($375), L'Artisan Parfumeur Mure et Musc Extreme ( €185 ), Chanel Gabrielle L'Eau ( $172 ), Diptyque Essences Insensées Rose de Mai Eau de Parfum ( $400 ), Guerlain Aqua Allegoria Flora Rosa ( $167 ),","Reminiscent of your favorite toast & jam morning memories, this note encapsulates jam-like & candied fruit fragrances.",,#VALUE!,#VALUE!
FRUITS & BERRIES,29,Guava,Heart ,"Fueguia 1833 Yrupé ( €324 ), Xerjoff Cruz del Sur II ( €235 ), Memoirs Of A Perfume Collector Tales from Zanzibar ( €162 ), Zoologist Perfumes Bat Edition 2020 ( $175 ), Gritti Mango Aoud ( $359 ),","Mimicking the luscious guava trees of the Caribbean, this note is tart, sweet, and slightly green.",,#VALUE!,#VALUE!
FRUITS & BERRIES,30,Passion Fruit,Heart ,"Tiziana Terenzi Cassiopea ( €285 ), Bvlgari Omnia Paraiba ( $395 ), Maison Crivelli Oud Maracujá ( 215€ ), Tiziana Terenzi Kirke ( $171 ), Rasasi La Yuqawam Jasmine Wisp ( $118 ),",This distinct sugary scent resembles that of juicy cantaloupe and papaya. It pairs well with other tropical fruit notes to create an energizing vacation fragrance.,,#VALUE!,#VALUE!
FRUITS & BERRIES,31,Peach,Heart ,"Tom Ford Bitter Peach ( $405 ), By Kilian Flower of Immortality ( $291 ), Light Blue Summer Vibes Dolce&Gabbana ( $113 ), Nectarine Blossom & Honey Jo Malone London ( €146 ), Byredo Bibliothèque ( $250 ),","Juicy and sweet, peach offers a velvety, luscious fruit note with subtle floral undertones, adding a bright, succulent warmth to any fragrance.",,#VALUE!,#VALUE!
FRUITS & BERRIES,32,Raspberry,Heart ,"Cartier Baiser Vole Lys Rose ( $162 ), Mugler Angel Nova ( $145 ), Jean Paul Gaultier So Scandal! ( $84 ), Dior Rouge Trafalgar ( $330 ), Juliette Has A Gun Lipstick Fever ( $ 91 ),","A tart and juicy berry note, raspberry brings a sweet, tangy freshness with a slightly green nuance, adding a vibrant, playful touch to fragrances.",,#VALUE!,#VALUE!
FRUITS & BERRIES,33,Strawberry,Heart ,"Burberry Her Elixir de Parfum ( $179 ), Yves Saint Laurent Mon Paris ( $159 ), Xerjoff La Capitale (€235), Dior Miss Dior Cherie Eau de Parfum ($376). Christian Louboutin Loubidoo ($102),","Sweet and ripe, strawberry delivers a juicy, succulent fruit note with soft, fruity brightness and a touch of natural sugariness, enhancing playful compositions.",,#VALUE!,#VALUE!
,,Spiced Aroma,,,,,,
Spiced Aromas,35,Saffron,Top,"Versace Santal Voise ($330), Gucci Voice of the Snake ($384), Arabian Oud Bussma ($234), Tom Ford Grey Vetiver ($124), Maison Francis Kukdjian Oud ($315)","Warm, spicy, and slightly sweet, saffron offers a rich, earthy aroma with leathery and floral undertones, adding an exotic, luxurious depth to fragrances.",,,
Spiced Aromas,36,Tobacco,Top,"Tom Ford Tobacco Vanille ( $890 ), Initio Parfums Prives Side Effect ( $240 ), Parfums de Marly Herod ( $435 ), Xerjoff Don ( €290 ). Chopard Oud Malaki ( $126 ),","Warm, rich, and slightly sweet, tobacco offers a smoky, earthy depth with honeyed and woody nuances, adding sophistication and a cozy, vintage allure.",,#VALUE!,#VALUE!
Spiced Aromas,37,Black Pepper,Heart ,"Serge Lutens Poivre Noir ( ‎$185 ), Montale Intense Pepper ( $180 ), Parfums de Marly Kalan ( € 265 ), Tom Ford Rose de Russie ( $257 ), Hermès Hermessence Poivre Samarcande ( $325 ),","Spicy, sharp, and slightly woody, black pepper adds a warm, zesty kick, offering a bold, energetic contrast in fragrance compositions.",,#VALUE!,#VALUE!
Spiced Aromas,38,Ginger,Heart ,"Hermès Un Jardin Apres la Mousson ( $334 ), Nishane Ani ( $214 ), Creed Tabarome ( $213 ), Bvlgari Le Gemme Empyr ( $291 ), Initio Parfums Prives Oud for Happiness ( $187 ),","Bright, spicy, and slightly sweet, ginger adds a fresh, zesty warmth with a citrusy undertone, bringing vibrancy and a touch of exotic spice.",,#VALUE!,#VALUE!
Spiced Aromas,39,Leather,Heart ,"Tom Ford Ombré Leather ( $158 ), Hermès Galop d'Hermes ( $260 ), By Kilian Royal Leather ( $502 ), Serge Lutens La Proie Pour L'Ombre ( $375 ), Guerlain Cuir Intense ( $189 ),","Rich, warm, and smooth, leather provides a smoky, earthy sophistication with hints of wood and animalic undertones, evoking luxury and timeless masculinity.",,#VALUE!,#VALUE!
Spiced Aromas,40,Nutmeg,Heart ,"Maison Francis Kurkdjian Gentle Fluidity Silver ( $245 ), By Kilian Intoxicated ( $317 ),Parfums de Marly Carlisle ( $246 ), Xerjoff Opera ( $362 ), Aedes de Venustas Palissandre d'Or ( $ 245 ),","A warm, aromatic spice with sweet, nutty undertones, nutmeg adds a cozy, slightly spicy depth, perfect for adding richness and warmth to compositions.",,#VALUE!,#VALUE!
Spiced Aromas,41,Ambroxan,Base,"Louis Vuitton L’Immensité ( $330 ), By Kilian Vodka on the Rocks ( $295 ), Ormonde Jayne Ambre Royal ( $290 ) , Narciso Rodriguez For Her Oil Musc Parfum ( $299 ), Bond No 9 The Scent Of Peace Natural ( $480 ), ","A warm, woody-amber note with musky and slightly salty facets, ambroxan offers depth, sensuality, and a smooth, long-lasting radiance in fragrances.",,#VALUE!,#VALUE!
,,SUGARY SWEET,,,,,,
SUGARY SWEET,42,Caramel,Top,"Xerjoff Lira ( € 270 ), Hermetica Tonkandy ( $215 ), Serge Lutens Le Participe Passé ( $155 ), Nishane Tero ( $174 ), The Merchant of Venice Mystic Incense ($170), ","A rich, creamy sweetness with buttery and slightly smoky undertones, caramel adds indulgence and a decadent warmth to fragrance compositions.",,#VALUE!,#VALUE!
SUGARY SWEET,43,Dark Chocolate,Top,"By Kilian Black Phantom ( $280 ), By Kilian Black Phantom Memento Mori Anniversary Edition ( $330 ), Xerjoff Symphonium ( $636 ), Xerjoff Symphonium Parfum ( $636 ), Maison Wolf Parfumeur Hong Kong Chocolate ( €155 ),","Deep, bitter-sweet, and indulgent, dark chocolate provides a rich, earthy cocoa note with a luxurious, slightly spicy warmth.",,#VALUE!,#VALUE!
SUGARY SWEET,44,Honey,Top,"By Kilian Back to Black ( $295 ), Maison Francis Kurkdjian Absolue Pour le Soir ( $273 ), Serge Lutens Fils de Joie ($185), By Kilian Gold Knight ( $870 ), Chanel Les Exclusifs de Chanel Beige ( $500),","Sweet, golden, and floral, honey offers a rich, sticky sweetness with a warm, comforting depth that adds a natural, indulgent touch.",,#VALUE!,#VALUE!
SUGARY SWEET,45,Bacardi Rum,Heart ,"Guerlain Habit Rouge Parfum ( $189 ), Maison Martin Margiela Jazz Club ( $138 ), Dior Vanilla Diorama ( ‎$330 ), Serge Lutens Écrin de Fumée ( $270 ), Guerlain Elixir Charnel Gourmand Coquin ( $519 ),","Warm, spicy, and slightly sweet, Bacardi rum introduces rich, boozy undertones with hints of molasses and oak, offering a smooth, intoxicating depth.",,#VALUE!,#VALUE!
SUGARY SWEET,46,Coffee,Heart ,"Yves Saint Laurent Black Opium ( $160 ), Mugler A*Men Pure Coffee ( $650 ), Montale Intense Cafe ( $104 ), By Kilian Intoxicated ( $295 ), Bond No 9 New Haarlem ( $360 ),","Bold, roasted, and slightly bitter, coffee delivers a rich, dark warmth with smoky and earthy nuances, adding an energizing and comforting essence.",,#VALUE!,#VALUE!
SUGARY SWEET,47,Marshmallow,Heart ,"By Kilian Love, Don't Be Shy ( $295 ), Parfums de Marly Oriana ( $341 ), By Kilian Princess ( $139 ), Maison Martin Margiela Funfair Evening ( $140 ), Memo Paris Sintra ( €235 ),","Soft, sweet, and fluffy, marshmallow offers a sugary, vanilla-like note with a creamy warmth, evoking childhood nostalgia and cozy indulgence.",,#VALUE!,#VALUE!
SUGARY SWEET,48,Vanilla,Base,"Maison Francis Kurkdjian Gentle Fluidity Gold ( $245 ), Guerlain Spiritueuse Double Vanille ( $395 ), Montale Vanille Absolu ( $150 ), Initio Parfums Prives Absolute Aphrodisiac ( $365 ), Xerjoff Lira ( $302) ","Warm, creamy, and sweet, vanilla provides a rich, comforting aroma with soft, slightly floral undertones, adding a smooth, indulgent touch to any fragrance.",,#VALUE!,#VALUE!
,,WOODY UNDERTONES,,,,,,
WOODY UNDERTONES,49,Bamboo,Heart ,"By Kilian Bamboo Harmony ( $295 ), Maison de L'Asie Bois D'Indonésie ( $270 ), Byredo Mister Marvelous ( $320 ), Il Profvmo Fleur de Bambu ( €137 ), Xi'an Guerlain ( $372 ),","Fresh, green, and slightly woody, bamboo offers a crisp, clean note with a watery, airy essence, adding a natural, zen-like tranquility to fragrances.",,#VALUE!,#VALUE!
WOODY UNDERTONES,50,Oud,Heart ,"Hermessence Agar Ebene ( $325 ), Maison Francis Kurkdjian Oud Satin Mood Extrait de Parfum ( €335 ), Initio Parfums Prives Oud for Greatness ( €315 ), Guerlain Les Absolus d'Orient Santal Royal ( $240 ), Dior Oud Ispahan Esprit De Parfum ( €395 ),","Rich, smoky, and deeply woody, oud provides an intense, resinous depth with earthy and slightly sweet undertones, adding a luxurious, exotic warmth.",,#VALUE!,#VALUE!
WOODY UNDERTONES,51,Pine,Heart ,"Creed Royal Mayfair ( $365 ), Creed Epicea ( $325 ), Profumum Roma Arso ( $285 ), Tiziana Terenzi Idnà ( $275 ), Miller Harris Feuilles de Tabac ( $275 ),","Fresh, sharp, and resinous, pine evokes the invigorating scent of forest air, with crisp, green notes and a slightly woody, balsamic warmth.",,#VALUE!,#VALUE!
WOODY UNDERTONES,52,Patchouli,Base,"Tom Ford Patchouli Absolu ( $300 ), Guerlain Patchouli Paris ( $250 ), Chopard Patchouli de Sumatra ( $225 ), Bvlgari Allegra Magnifying Patchouli Essence ( $230 ), Maison Crivelli Patchouli Magnetik ( $290 ),","Earthy, woody, and slightly sweet, patchouli adds depth with rich, musky undertones and a hint of spice, creating an intense, grounding effect.",,#VALUE!,#VALUE!
WOODY UNDERTONES,53,Sandalwood,Base,"Louis Vuitton Pur Santal ( $325 ),By Kilian Sacred Wood ( $240 ), Serge Lutens Santal Majuscule ( $150 ), Le Labo Santal 33 ( $280 ), Creed Original Santal ( $400 ),","Creamy, smooth, and warm, sandalwood offers a soft, woody richness with sweet, milky undertones, adding a soothing, luxurious depth to fragrances.",,#VALUE!,#VALUE!
WOODY UNDERTONES,54,Vetiver,Base,"Creed Original Vetiver ( $275 ), Frederic Malle Vetiver Extraordinaire ( $325 ), Amouage Portrayal Man ( $350 ), Hermès Hermessence Vetiver Tonka ( $340 ), Frederic Malle French Lover ( $300 )","Earthy, woody, and slightly smoky, vetiver brings a dry, grassy warmth with subtle green and leathery nuances, offering a rugged, grounding effect.",,#VALUE!,#VALUE!
WOODY UNDERTONES,55,Cedarwood,Base,"Creed Royal Oud ( $345 ), Maison Francis Kurkdjian Baccarat Rouge 540 ( $325 ), Le Labo Santal 33 ( $280 ), Serge Lutens Bois et Musc ( $250 ), Guerlain Aqua Allegoria Forte Oud Yuzu ( $220 ),","Dry, woody, and slightly spicy, cedarwood delivers a warm, resinous note with soft balsamic and earthy tones, evoking strength and natural sophistication.",,#VALUE!,#VALUE!
,,SENSUAL MUSK,,,,,,
SENSUAL MUSK,56,Ambergris,Base,"Amber Aoud Roja Dove ( $450 ), Royal Amber Areej Le Doré ( $500 ), Sultan Rouge Pascal Morabito ( $400 ), Black Ambergris Anonim ( $300 ), The Sexiest Scent on the Planet. Ever. IMHO 4160 Tuesdays ( $275 )","Warm, musky, and slightly sweet, ambergris offers a rich, oceanic depth with subtle animalic and earthy undertones, adding mystery and luxurious warmth to fragrances.",,#VALUE!,#VALUE!
SENSUAL MUSK,57,Hennessy Cognac,Base,"By Kilian Angels' Share ( $195 ), Initio Parfums Prives Narcotic Delight ( $330 ), Tom Ford Bitter Peach ( $375 ), Amouage Overture Man ( $430 ), Maison Alhambra Kismet Angel ( $150 ),","Rich, smooth, and classy, Hennessy cognac introduces warm, oaky notes with hints of fruit, spice, and caramel, creating a refined and indulgent aroma.",,#VALUE!,#VALUE!
SENSUAL MUSK,58,Oak Musk,Base,"Hermès H24 Eau de Parfum ( $125 ), Louis Vuitton Rhapsody ( $560 ), Chanel Pour Monsieur ( £104 ), Amouage Incense Rori ( $540 ), Tom Ford Beau De Jour Eau de Parfum ( $240 ),","A woody, earthy musk with deep, resinous tones, oak musk provides a grounding, natural warmth, evoking the strength and depth of aged oak.",,#VALUE!,#VALUE!
SENSUAL MUSK,59,White Musk,Base,"Chanel No 5 ($255), Le Labo ($375), Jo Malone London ($225) ","Soft, clean, and powdery, white musk offers a delicate, airy sweetness with a subtle floral touch, adding freshness and a smooth, sensual undertone to fragrances.",,,
,,,,,,,,
,,SIGNATURE BLENDS,,,,,,
,59,Blanca by Jackie,,,,,,
,60,Caribbean Cocktail,,,,,,
,61,Scent From Heaven,,,,,,
,62,Gentlemen's Aura,,,,,,
,63,Pirates of the Caribbean,,,,,,
,64,Rugged Edge,,,,,,
